order_id,order_timestamp,delivered_timestamp,driver_id,restaurant_id,cust_id,delivery_region,discount_applied,discount_code,order_total,discount_pc,status
100001,26/11/2021 18:22,26/11/2021 18:49,273,105,1016,Dublin,TRUE,BLACKFRIDAY21,69.46,20,COMPLETED
100002,11/07/2021 21:23,11/07/2021 21:53,43,219,1017,Cork,FALSE,,69.4,,COMPLETED
100003,27/04/2021 17:28,27/04/2021 17:55,299,48,1019,Dublin,FALSE,,47.16,,COMPLETED
100004,22/02/2021 18:08,22/02/2021 18:35,320,233,1020,Dublin,FALSE,,47.15,,COMPLETED
100005,21/06/2021 18:14,21/06/2021 18:44,41,207,1024,Dublin,FALSE,,47,,COMPLETED
100006,15/08/2021 18:15,15/08/2021 18:45,154,83,1025,Cork,FALSE,,46.88,,COMPLETED
100007,27/08/2021 19:18,27/08/2021 19:48,160,194,1028,Cork,FALSE,,46.78,,COMPLETED
100008,18/12/2021 18:52,18/12/2021 19:19,60,83,1013,Dublin,FALSE,,46.67,,COMPLETED
100009,17/11/2021 19:30,17/11/2021 19:57,172,228,1017,Dublin,FALSE,,46.56,,COMPLETED
100010,29/05/2021 17:09,29/05/2021 17:36,373,9,1019,Dublin,FALSE,,46.4,,COMPLETED
100011,03/11/2021 23:15,03/11/2021 23:42,319,18,1020,Cork,FALSE,,46.28,,COMPLETED
100012,26/11/2021 18:22,26/11/2021 18:49,90,6,1024,Dublin,TRUE,BLACKFRIDAY21,46.13,20,COMPLETED
100013,12/08/2021 20:21,12/08/2021 20:51,290,295,1032,Cork,FALSE,,45.68,,COMPLETED
100014,19/08/2021 22:30,19/08/2021 23:00,360,64,1035,Cork,FALSE,,45.59,,COMPLETED
100015,05/11/2021 17:08,05/11/2021 17:35,156,9,1044,Cork,FALSE,,45.04,,COMPLETED
100016,30/11/2021 18:20,30/11/2021 18:47,34,205,1045,Dublin,FALSE,,44.99,,COMPLETED
100017,14/08/2021 19:47,14/08/2021 20:17,367,20,1047,Cork,FALSE,,44.93,,COMPLETED
100018,11/07/2021 18:15,11/07/2021 18:45,216,264,1048,Cork,FALSE,,44.55,,COMPLETED
100019,14/05/2021 18:48,14/05/2021 19:15,254,20,1049,Dublin,FALSE,,44.5,,COMPLETED
100020,22/10/2021 20:10,22/10/2021 20:37,227,313,1052,Cork,FALSE,,44.44,,COMPLETED
100021,05/04/2021 17:36,05/04/2021 18:03,150,20,1054,Dublin,FALSE,,44.39,,COMPLETED
100022,18/07/2021 18:03,18/07/2021 18:33,275,109,1058,Cork,FALSE,,44.04,,COMPLETED
100023,11/05/2021 18:59,11/05/2021 19:26,175,98,1059,Dublin,FALSE,,44.01,,COMPLETED
100024,26/11/2021 23:58,27/11/2021 00:25,254,233,1061,Dublin,FALSE,,43.99,,COMPLETED
100025,30/06/2021 18:26,30/06/2021 18:56,297,44,1063,Dublin,FALSE,,43.95,,COMPLETED
100026,14/09/2021 17:41,14/09/2021 18:11,277,43,1065,Cork,FALSE,,43.9,,COMPLETED
100027,03/12/2021 22:22,03/12/2021 22:49,64,76,1066,Dublin,FALSE,,43.85,,COMPLETED
